[2026-03-29 16:15:48,912] 15 root - INFO -Initiate the data ingestion
[2026-03-29 16:15:55,340] 63 root - INFO -Performed train test split on the dataframe
[2026-03-29 16:15:55,340] 65 root - INFO -Exited split_data_as_train_test method of Dat_Ingestion class
[2026-03-29 16:15:55,340] 69 root - INFO -Exporting train and test file path.
[2026-03-29 16:15:55,415] 78 root - INFO -Exported train and test file path.
[2026-03-29 16:15:55,416] 17 root - INFO -Data Initiation completed
[2026-03-29 16:15:55,422] 21 root - INFO -Initiate the data validation
[2026-03-29 16:15:55,521] 38 root - INFO -Required number of columns: 31
[2026-03-29 16:15:55,521] 39 root - INFO -Data frame has columns: 31
[2026-03-29 16:15:55,522] 38 root - INFO -Required number of columns: 31
[2026-03-29 16:15:55,522] 39 root - INFO -Data frame has columns: 31
[2026-03-29 16:15:55,661] 23 root - INFO -Data validation completed
[2026-03-29 16:15:55,662] 26 root - INFO -Data Transformation Started
[2026-03-29 16:15:55,662] 68 root - INFO -Entered initiate_data_transformation method of DataTransformation class
[2026-03-29 16:15:55,662] 70 root - INFO -Starting data trandformation
[2026-03-29 16:15:55,763] 56 root - INFO -Entered get_data_transformer_object method of Transformation class.
[2026-03-29 16:15:55,764] 59 root - INFO -Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-03-29 16:15:55,780] 46 root - INFO -Entered the save_object method of MainUtils class
[2026-03-29 16:15:55,783] 50 root - INFO -Exited the save_object method of MainUtils class
[2026-03-29 16:15:55,784] 30 root - INFO -Data Transformation Completed
